CV_feat_selected  CV_AUC  CV_ACC
result\nn-run1Result_data3_1
   43.0000    0.7586    0.0123
    4.0000    0.9807    0.9859
   43.0000    0.8505    0.0343
    4.0000    0.7196    0.1492
    5.0000    0.7843    0.0141
   25.0000    0.4110    0.0101
    2.0000    0.5959    0.0081
    3.0000    0.8067    0.9859
   37.0000    0.5597    0.0141
   45.0000    0.5548    0.0121

   21.1000    0.7022    0.2226

result\KNN-run1Result_data3_1
   14.0000    0.5072    0.0246
    4.0000    0.8817    0.9617
   38.0000    0.5102    0.0302
   15.0000    0.5031    0.0161
    7.0000    0.5092    0.0282
    1.0000    0.5000    0.0101
    1.0000    0.5000    0.0101
    4.0000    0.6971    0.7923
   14.0000    0.5051    0.0202
   43.0000    0.5041    0.0181

   14.1000    0.5618    0.1912

result\LDA-run1Result_data3_1
   18.0000    0.4311    0.0697
   43.0000    0.5969    0.9859
   37.0000    0.3479    0.1008
   30.0000    0.2479    0.0988
    3.0000    0.4438    0.0948
    2.0000    0.2316    0.0665
   42.0000    0.0855    0.1694
   36.0000    0.4980    0.9859
    1.0000    0.3183    0.0423
    1.0000    0.1153    0.0323

   21.3000    0.3316    0.2646

result\svm-run1Result_data3_1
    4.0000    0.5010    0.0123
    4.0000    0.9287    0.8589
    7.0000    0.5010    0.0121
   42.0000    0.5000    0.0101
    2.0000    0.5020    0.0141
    6.0000    0.5051    0.0202
   44.0000    0.5000    0.0101
    4.0000    0.8534    0.7097
   44.0000    0.5000    0.0101
    5.0000    0.5010    0.0121

   16.2000    0.5792    0.1670

result\LR-run1Result_data3_1
    5.0000    0.4542    0.9344
    2.0000    0.5026    0.9839
   41.0000    0.1935    0.9718
    1.0000    0.2069    0.9899
    1.0000    0.4110    0.9899
    1.0000    0.2130    0.9899
   43.0000    0.0293    0.9879
    1.0000    0.3206    0.9899
    1.0000    0.3134    0.9899
    1.0000    0.1035    0.9899

    9.7000    0.2748    0.9817
